Rank,Name,Catagory,Best_Flim, Link 
1,Johnny Depp,Actor , Sweeney Todd: The Demon Barber of Fleet Street,https://www.imdb.com/name/nm0000136
2,Arnold Schwarzenegger,Actor , Predator,https://www.imdb.com/name/nm0000216
3,Jim Carrey,Actor , Bruce Almighty,https://www.imdb.com/name/nm0000120
4,Emma Watson,Actress , The Perks of Being a Wallflower,https://www.imdb.com/name/nm0914612
5,Daniel Radcliffe,Actor , Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/name/nm0705356
6,Leonardo DiCaprio,Actor , Inception,https://www.imdb.com/name/nm0000138
7,Tom Cruise,Actor , Top Gun,https://www.imdb.com/name/nm0000129
8,Brad Pitt,Actor , Mr. & Mrs. Smith,https://www.imdb.com/name/nm0000093
9,Charles Chaplin,Writer , The Great Dictator,https://www.imdb.com/name/nm0000122
10,Morgan Freeman,Actor , Se7en,https://www.imdb.com/name/nm0000151
11,Tom Hanks,Producer , Cast Away,https://www.imdb.com/name/nm0000158
12,Hugh Jackman,Actor , Les Misérables,https://www.imdb.com/name/nm0413168
13,Matt Damon,Actor , Good Will Hunting,https://www.imdb.com/name/nm0000354
14,Sylvester Stallone,Actor , Rocky,https://www.imdb.com/name/nm0000230
15,Will Smith,Music_department , The Fresh Prince of Bel-Air,https://www.imdb.com/name/nm0000226
16,Clint Eastwood,Actor , Million Dollar Baby,https://www.imdb.com/name/nm0000142
17,Cameron Diaz,Actress , There's Something About Mary,https://www.imdb.com/name/nm0000139
18,George Clooney,Actor , Michael Clayton,https://www.imdb.com/name/nm0000123
19,Steven Spielberg,Producer , Schindler's List,https://www.imdb.com/name/nm0000229
20,Harrison Ford,Actor , The Fugitive,https://www.imdb.com/name/nm0000148
21,Robert De Niro,Actor , Raging Bull,https://www.imdb.com/name/nm0000134
22,Al Pacino,Actor , Serpico,https://www.imdb.com/name/nm0000199
23,Robert Downey Jr.,Actor , Iron Man,https://www.imdb.com/name/nm0000375
24,Russell Crowe,Actor , Les Misérables,https://www.imdb.com/name/nm0000128
25,Liam Neeson,Actor , Kinsey,https://www.imdb.com/name/nm0000553
26,Kate Winslet,Actress , Eternal Sunshine of the Spotless Mind,https://www.imdb.com/name/nm0000701
27,Mark Wahlberg,Producer , The Fighter,https://www.imdb.com/name/nm0000242
28,Natalie Portman,Actress , Black Swan,https://www.imdb.com/name/nm0000204
29,Pierce Brosnan,Actor , Mamma Mia!,https://www.imdb.com/name/nm0000112
30,Sean Connery,Actor , The Rock,https://www.imdb.com/name/nm0000125
31,Orlando Bloom,Actor , The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/name/nm0089217
32,Dwayne Johnson,Actor , Jumanji: Welcome to the Jungle,https://www.imdb.com/name/nm0425005
33,Jackie Chan,Actor , Ngo si seoi,https://www.imdb.com/name/nm0000329
34,Angelina Jolie,Actress , Maleficent,https://www.imdb.com/name/nm0001401
35,Adam Sandler,Actor , The Waterboy,https://www.imdb.com/name/nm0001191
36,Scarlett Johansson,Actress , Her,https://www.imdb.com/name/nm0424060
37,Heath Ledger,Actor , Brokeback Mountain,https://www.imdb.com/name/nm0005132
38,Anne Hathaway,Actress , Les Misérables,https://www.imdb.com/name/nm0004266
39,Jessica Alba,Actress , Fantastic Four,https://www.imdb.com/name/nm0004695
40,Edward Norton,Actor , Keeping the Faith,https://www.imdb.com/name/nm0001570
41,Keira Knightley,Actress , Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/name/nm0461136
42,Bradley Cooper,Actor , A Star Is Born,https://www.imdb.com/name/nm0177896
43,Will Ferrell,Producer , Talladega Nights: The Ballad of Ricky Bobby,https://www.imdb.com/name/nm0002071
44,Julia Roberts,Actress , Pretty Woman,https://www.imdb.com/name/nm0000210
45,Nicolas Cage,Actor , Face/Off,https://www.imdb.com/name/nm0000115
46,Daniel Craig,Actor , Casino Royale,https://www.imdb.com/name/nm0185819
47,Keanu Reeves,Actor , The Matrix,https://www.imdb.com/name/nm0000206
48,Ian McKellen,Actor , The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/name/nm0005212
49,Halle Berry,Actress , Catwoman,https://www.imdb.com/name/nm0000932
50,Bruce Willis,Actor , Die Hard,https://www.imdb.com/name/nm0000246
